topology,pulse_mode,utilization,policy,family,update_fraction,smoothing,guard,mean_cost,p95_cost,overload_frequency,overload_severity,p95_max_overload_excess,sync_index,oscillation,throughput_proxy,noinfo_mean_cost,noinfo_overload_severity,noinfo_p95_max_overload_excess,noinfo_p95_cost,cost_improvement_vs_noinfo,delta_overload_severity_vs_noinfo,delta_p95_cost_vs_noinfo
bottleneck_fan,commute_pulse,0.92,coarse_zone_u0.035,coarse_zone,0.035,0.55,False,1.5780040460500089,2.205665455543645,0.2666666666666666,0.0080012103288317,0.2862338101937098,0.0031715745538545,0.0024393990695303,0.9923272921754602,1.590162810982492,0.0107220139208917,0.3825308838883408,2.2442784851246005,0.0121587649324832,-0.0027208035920599,-0.0386130295809552
bottleneck_fan,commute_pulse,1.0,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.7280503132374248,2.549807707795224,0.36,0.0190050752492788,0.3970867886752779,0.0027396522555631,0.0007462010323228,0.982524373663636,1.7452840390487447,0.0230655962300455,0.5027509607481964,2.603001234947965,0.0172337258113199,-0.0040605209807667,-0.0531935271527408
bottleneck_fan,commute_pulse,1.08,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.9059519814945092,2.961747759416397,0.5966666666666667,0.0366093897494991,0.5028123116152488,0.0033560465278843,0.0006231892156969,0.9680178048611304,1.9309933727595048,0.0429565082900267,0.6229710376080524,3.0324599472535145,0.0250413912649953,-0.0063471185405276,-0.0707121878371177
bottleneck_fan,event_burst,0.92,coarse_zone_u0.035,coarse_zone,0.035,0.55,False,1.6298062373574256,3.2301154119816773,0.16,0.0262800464184377,0.5600019623913,0.003752092360266,0.002983890656363,0.979335720826286,1.6443971410915637,0.0287203943539874,0.6917428863069938,3.3127162299955466,0.014590903734138,-0.0024403479355496,-0.0826008180138693
bottleneck_fan,event_burst,1.0,budget_common_u0.055_s0.00,budget_common,0.055,0.0,False,1.7964650247659923,3.8937201092060927,0.2033333333333332,0.0426131321923039,0.6919984660335454,0.0020951757588065,0.0009176982813818,0.9695278571226464,1.8163994692112084,0.0460297595791066,0.8388509633771671,4.004003324869601,0.019934444445216,-0.0034166273868027,-0.1102832156635087
bottleneck_fan,event_burst,1.08,coarse_zone_u0.035,coarse_zone,0.035,0.55,False,1.9933033791620087,4.687633026341399,0.4833333333333333,0.0644429052488245,0.811550429346452,0.0033579948876445,0.0025710710618105,0.9580057842659236,2.022318659962817,0.0707284802159427,0.9859590404473404,4.831604210913875,0.0290152808008083,-0.0062855749671182,-0.143971184572476
bottleneck_fan,flat,0.92,coarse_zone_u0.035,coarse_zone,0.035,0.55,False,1.5352476082774489,1.544061290857747,0.0533333333333333,4.308914350226097e-05,0.0353206386935323,0.0027805069402968,0.0022488015756059,0.999956930216936,1.5446505797515642,0.000460582919459,0.0371718812864916,1.544650579751564,0.0094029714741155,-0.0004174937759567,-0.0005892888938172
bottleneck_fan,flat,1.0,coarse_zone_u0.035,coarse_zone,0.035,0.55,False,1.6702061125782135,1.6720268301211945,0.6500000000000001,0.0014912337313952,0.0750200524693462,0.0031535689532163,0.002506190774415,0.9985113814019436,1.685605567956142,0.0054069194093477,0.1273607405287953,1.6856055679561424,0.0153994553779284,-0.0039156856779524,-0.0135787378349478
bottleneck_fan,flat,1.08,coarse_zone_u0.080,coarse_zone,0.08,0.55,False,1.8316312442898637,1.8327802536436015,0.9866666666666668,0.0087611178377767,0.1457079216711331,0.0069747199981106,0.0047019597932447,0.9913169142853104,1.8543552437355268,0.0174349950986861,0.217549599771099,1.8543552437355268,0.0227239994456633,-0.0086738772609094,-0.021574990091925
diamond_bypass,commute_pulse,0.92,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.5878427396615782,2.2142045802107875,0.2633333333333333,0.0083434844344122,0.2875449637302818,0.0030594040107306,0.0014898603758712,0.9920018593307676,1.608695439861145,0.0129354728731902,0.3766041699900926,2.293909200196374,0.0208527001995668,-0.0045919884387779,-0.0797046199855864
diamond_bypass,commute_pulse,1.0,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.7365302541239955,2.5583699909531936,0.3566666666666667,0.0190948818095572,0.3929375257255174,0.0039914195396758,0.0012691184575239,0.9824050046039504,1.7711914695282218,0.0261854694625749,0.4963088804240136,2.6696864121499577,0.0346612154042262,-0.0070905876530177,-0.1113164211967641
diamond_bypass,commute_pulse,1.08,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.9144898071015948,2.9707030994903056,0.6999999999999998,0.0363278969647803,0.4993257079725808,0.0050196371057482,0.0010601203443297,0.9681512240568214,1.965729830114356,0.0466490540081855,0.6160135908579346,3.11956252856248,0.0512400230127614,-0.0103211570434051,-0.1488594290721741
diamond_bypass,event_burst,0.92,budget_common_u0.080_s0.00,budget_common,0.08,0.0,False,1.6402226082439642,3.2419480876206506,0.1566666666666666,0.0258227650962484,0.5652699367350646,0.0035375376016187,0.0021825117175287,0.979599636075076,1.6655081883433445,0.0299146398846341,0.6844906243912677,3.413142806404164,0.0252855800993803,-0.0040918747883856,-0.171194718783513
diamond_bypass,event_burst,1.0,budget_common_u0.055_s0.00,budget_common,0.055,0.0,False,1.805187010709156,3.904039470789937,0.2,0.0419650621710022,0.6918284550308212,0.0029959319882385,0.0014589455227612,0.9698036574724368,1.8456878823888203,0.0470881029162955,0.830968069990508,4.1372951979075605,0.0405008716796646,-0.0051230407452933,-0.2332557271176232
