severity_budget_epsilon,topology,pulse_mode,winner_family,win_count,mean_improvement,mean_sync
0.01,bottleneck_fan,commute_pulse,budget_common,2,0.021137558538157686,0.0030478493917237646
0.01,bottleneck_fan,commute_pulse,coarse_zone,1,0.012158764932483246,0.003171574553854547
0.01,bottleneck_fan,event_burst,budget_common,1,0.019934444445216082,0.0020951757588065496
0.01,bottleneck_fan,event_burst,coarse_zone,2,0.021803092267473234,0.003555043623955309
0.01,bottleneck_fan,flat,coarse_zone,3,0.015842142099235772,0.0043029319638746046
0.01,diamond_bypass,commute_pulse,budget_common,3,0.03558464620551819,0.00402348688538491
0.01,diamond_bypass,event_burst,budget_common,3,0.04149643959641525,0.0036303633751400485
0.01,diamond_bypass,flat,budget_common,2,0.03711256498463056,0.005177932196910647
0.01,diamond_bypass,flat,coarse_zone,1,0.01982041136574475,0.005104166389708642
0.01,parallel_3_heterogeneous,commute_pulse,budget_common,3,0.0198268262246671,0.004221479550782999
0.01,parallel_3_heterogeneous,event_burst,budget_common,3,0.022683273793259334,0.003579105908915597
0.01,parallel_3_heterogeneous,flat,budget_common,3,0.017248740978880257,0.004449809733863309
0.02,bottleneck_fan,commute_pulse,budget_common,2,0.021137558538157686,0.0030478493917237646
0.02,bottleneck_fan,commute_pulse,coarse_zone,1,0.012158764932483246,0.003171574553854547
0.02,bottleneck_fan,event_burst,budget_common,1,0.019934444445216082,0.0020951757588065496
0.02,bottleneck_fan,event_burst,coarse_zone,2,0.021803092267473234,0.003555043623955309
0.02,bottleneck_fan,flat,coarse_zone,3,0.015842142099235772,0.0043029319638746046
0.02,diamond_bypass,commute_pulse,budget_common,3,0.03558464620551819,0.00402348688538491
0.02,diamond_bypass,event_burst,budget_common,3,0.04149643959641525,0.0036303633751400485
0.02,diamond_bypass,flat,budget_common,2,0.03711256498463056,0.005177932196910647
0.02,diamond_bypass,flat,coarse_zone,1,0.01982041136574475,0.005104166389708642
0.02,parallel_3_heterogeneous,commute_pulse,budget_common,3,0.0198268262246671,0.004221479550782999
0.02,parallel_3_heterogeneous,event_burst,budget_common,3,0.022683273793259334,0.003579105908915597
0.02,parallel_3_heterogeneous,flat,budget_common,3,0.017248740978880257,0.004449809733863309
